Získané dáta po spustení programu saveData.py.

Time(ms), PixelValue
0.00, [ 88  95 101]
16.67, [113 117 112]
33.33, [113 117 112]
50.00, [113 117 112]
66.67, [113 117 112]
83.33, [113 117 112]
100.00, [113 117 112]
116.67, [113 117 112]
133.33, [113 117 112]
150.00, [113 117 112]
166.67, [113 117 112]
183.33, [113 117 112]
200.00, [113 117 112]
216.67, [113 117 112]
233.33, [113 117 112]
250.00, [113 117 112]
266.67, [113 117 112]
283.33, [113 117 112]
300.00, [113 117 112]
316.67, [113 117 112]
333.33, [113 117 112]
350.00, [111 116 114]
366.67, [115 116 111]
383.33, [115 116 111]
400.00, [115 115 113]
416.67, [115 115 113]
433.33, [115 115 113]
450.00, [115 115 113]
466.67, [115 115 113]
483.33, [117 115 111]
500.00, [117 115 111]
516.67, [113 117 112]
533.33, [113 117 112]
550.00, [113 117 112]
566.67, [113 117 112]
583.33, [117 114 113]
600.00, [117 114 113]
616.67, [117 114 113]
633.33, [117 114 113]
650.00, [117 114 113]
666.67, [117 114 113]
683.33, [115 116 111]
700.00, [115 116 111]
716.67, [115 116 111]
733.33, [111 116 114]
750.00, [111 116 114]
766.67, [115 116 111]
783.33, [115 116 111]
800.00, [115 116 111]
816.67, [115 116 111]
833.33, [115 116 111]
850.00, [115 116 111]
866.67, [115 116 111]
883.33, [115 116 111]
900.00, [112 116 111]
916.67, [112 116 111]
933.33, [112 116 111]
950.00, [112 116 111]
966.67, [112 116 111]
983.33, [112 116 111]
1000.00, [113 117 112]
1016.67, [113 117 112]
1033.33, [113 117 112]
1050.00, [113 117 112]
1066.67, [113 117 112]
1083.33, [113 117 112]
1100.00, [115 116 111]
1116.67, [115 116 111]
1133.33, [115 116 111]
1150.00, [115 116 111]
1166.67, [115 116 111]
1183.33, [115 116 111]
1200.00, [115 116 111]
1216.67, [115 116 111]
1233.33, [115 116 111]
1250.00, [115 116 111]
1266.67, [115 116 111]
1283.33, [115 116 111]
1300.00, [115 116 111]
1316.67, [115 116 111]
1333.33, [115 116 111]
1350.00, [115 116 111]
1366.67, [115 116 111]
1383.33, [115 116 111]
1400.00, [115 116 111]
1416.67, [115 116 111]
1433.33, [115 116 111]
1450.00, [115 116 111]
1466.67, [115 116 111]
1483.33, [115 116 111]
1500.00, [115 116 111]
1516.67, [112 116 111]
1533.33, [112 116 111]
1550.00, [112 116 111]
1566.67, [113 117 112]
1583.33, [112 116 111]
1600.00, [112 116 111]
1616.67, [110 116 111]
1633.33, [112 116 111]
1650.00, [112 116 111]
1666.67, [113 117 112]
1683.33, [112 116 111]
1700.00, [112 116 111]
1716.67, [112 116 111]
1733.33, [112 116 111]
1750.00, [110 116 111]
1766.67, [112 116 111]
1783.33, [112 116 111]
1800.00, [112 116 111]
1816.67, [112 116 111]
1833.33, [112 116 111]
1850.00, [115 116 111]
1866.67, [117 115 111]
1883.33, [117 115 111]
1900.00, [112 116 111]
1916.67, [112 116 111]
1933.33, [112 116 111]
1950.00, [112 116 111]
1966.67, [112 116 111]
1983.33, [112 116 111]
2000.00, [110 115 113]
2016.67, [110 115 113]
2033.33, [110 115 113]
2050.00, [110 115 113]
2066.67, [110 115 113]
2083.33, [110 115 113]
2100.00, [110 115 113]
2116.67, [110 115 113]
2133.33, [110 115 113]
2150.00, [110 115 113]
2166.67, [110 115 113]
2183.33, [110 115 113]
2200.00, [110 116 111]
2216.67, [110 116 111]
2233.33, [110 116 111]
2250.00, [110 116 111]
2266.67, [110 116 111]
2283.33, [110 116 111]
2300.00, [110 116 111]
2316.67, [110 116 111]
2333.33, [112 116 111]
2350.00, [112 116 111]
2366.67, [112 116 111]
2383.33, [112 115 113]
2400.00, [112 115 113]
2416.67, [111 114 112]
2433.33, [111 114 112]
2450.00, [111 114 112]
2466.67, [112 115 113]
2483.33, [112 115 113]
2500.00, [112 115 113]
2516.67, [112 115 113]
2533.33, [112 115 113]
2550.00, [112 115 113]
2566.67, [112 115 113]
2583.33, [112 115 113]
2600.00, [112 115 113]
2616.67, [112 115 113]
2633.33, [112 116 111]
2650.00, [112 115 113]
2666.67, [112 115 113]
2683.33, [112 115 113]
2700.00, [112 116 111]
2716.67, [112 116 111]
2733.33, [112 116 111]
2750.00, [112 115 113]
2766.67, [112 115 113]
2783.33, [112 115 113]
2800.00, [112 116 111]
2816.67, [112 115 113]
2833.33, [112 116 111]
2850.00, [ 80  97 113]
2866.67, [ 66  92 116]
2883.33, [ 50  83 112]
2900.00, [ 41  79 114]
2916.67, [ 41  79 114]
2933.33, [ 41  79 114]
2950.00, [ 41  80 113]
2966.67, [ 41  80 113]
2983.33, [ 41  80 111]
3000.00, [ 38  82 114]
3016.67, [ 38  82 114]
3033.33, [ 38  82 114]
3050.00, [ 38  82 114]
3066.67, [ 38  82 114]
3083.33, [ 38  82 114]
3100.00, [ 38  82 114]
3116.67, [ 38  82 114]
3133.33, [ 41  83 115]
3150.00, [ 41  83 113]
3166.67, [ 41  83 113]
3183.33, [ 41  83 113]
3200.00, [ 41  83 115]
3216.67, [ 40  84 116]
3233.33, [ 40  84 116]
3250.00, [ 41  85 117]
3266.67, [ 41  85 117]
3283.33, [ 41  85 117]
3300.00, [ 42  86 118]
3316.67, [ 42  86 118]
3333.33, [ 42  86 118]
3350.00, [ 41  85 115]
3366.67, [ 41  85 115]
3383.33, [ 41  85 115]
3400.00, [ 43  85 115]
3416.67, [ 43  85 115]
3433.33, [ 43  85 115]
3450.00, [ 43  85 115]
3466.67, [ 44  86 116]
3483.33, [ 44  86 116]
3500.00, [ 44  86 116]
3516.67, [ 44  86 116]
3533.33, [ 44  86 116]
3550.00, [ 44  86 116]
3566.67, [ 44  86 116]
3583.33, [ 44  86 116]
3600.00, [ 46  85 116]
3616.67, [ 46  85 116]
3633.33, [ 46  85 116]
3650.00, [ 46  85 116]
3666.67, [ 46  85 116]
3683.33, [ 46  85 116]
3700.00, [ 46  85 116]
3716.67, [ 46  85 116]
3733.33, [ 46  85 116]
3750.00, [ 46  85 116]
3766.67, [ 46  85 116]
3783.33, [ 46  85 116]
3800.00, [ 48  86 114]
3816.67, [ 48  86 114]
3833.33, [ 48  86 114]
3850.00, [ 48  86 114]
3866.67, [ 48  86 114]
3883.33, [ 47  85 113]
3900.00, [ 47  85 113]
3916.67, [ 49  84 113]
3933.33, [ 49  84 113]
3950.00, [ 49  84 113]
3966.67, [ 49  84 113]
3983.33, [ 49  84 113]
4000.00, [ 49  84 113]
4016.67, [ 48  83 112]
4033.33, [ 48  83 112]
4050.00, [ 48  83 112]
4066.67, [ 48  83 112]
4083.33, [ 48  83 112]
4100.00, [ 48  83 112]
4116.67, [ 48  83 112]
4133.33, [ 48  83 112]
4150.00, [ 48  84 111]
4166.67, [ 48  84 111]
4183.33, [ 48  84 111]
4200.00, [ 48  83 112]
4216.67, [ 47  82 111]
4233.33, [ 48  83 112]
4250.00, [ 48  83 112]
4266.67, [ 48  83 112]
4283.33, [ 48  83 112]
4300.00, [ 48  83 112]
4316.67, [ 48  83 112]
4333.33, [ 48  83 112]
